text,date,gold_label_list,,,
"The @Clinton_LumberKings beat the @Cedar_Rapids_Kernels 4-0 in Game 1 of the Western Division finals. Evan Edwards hit a 2-run HR. WP Josh Roberson: 5 IP, 3 H, 0 R, 0 BB, 10 K #MWLplayoffs #MWLscoreboard",2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
I would rather hear Eli Gold announce this Auburn game than these dumbasses. @ESPN,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
"Someone take my phone away, I’m trying to not look at @Chicago_Blackhawks home game tickets in October ",2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
"A year ago, Louisville struggled to beat an FCS opponent, ISU.  Yes they won 31-7, but score wasn’t indicative of the game flow.  Today, they are demoralizing a better FCS opponent in EKU. @Coach_Satterfield thank you!! @user , glad you’re gone.",2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Anyone know why the #Dodgers #Orioles game next Thursday 9/12 is on Fox?? That’s arguably the last game on the entire schedule I’d imagine being on Fox. @Bill_Shaikin @Eric_Stephen @David_Vassegh,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
"I don’t care. you gave him a shot, he is struggling put Joey in and see what he has to offer. This is the game  you decide who you want starting the Mississippi state game. @Coach_Gus_Malzahn ‍♂�?,2019-09-08,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
Okay how can I watch the @Arkansas_State_Football and UNLV game on FB?,2019-09-08,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
Check out largest crowds ever for a basketball game! Phil Arena aims to set new attendance record for FIBA World Cup final in 2023",2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
I voted #WeWantNCAAFootball on @user . It’s the best video game! {URL},2019-9-8,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
Streaming a new game #minionmasters come stop by and join me!! @user @user #FearThePack #supportsmallstreamers #SmallStreamersConnect #smallstreamer #twitchaffiliate #twitch #twitchprime #subtember,2019-9-8,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0],,,
Three unanswered goals by @user has tied the game for @user 9-9. #MannCup,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Shout out to @user for giving my 6 year old son his wrist ban after the game. It means the world to him. He is sleeping with it on now and it will go to school on Monday. Made his older brother jealous.,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
"I have little to no voice left, I’m completely exhausted...and wouldn’t change it for the world. Nothing more exciting as a broadcaster to call a game winning play as time expires. Tonight was my second time calling a GW FG in a monumental @user win over Georgetown.",2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
"Great wins yesterday for @user 1s stay up, and 2s goes to last game of season. Great to see Callum Bennett with an impressive 65not out to see us home especially being 23-4. Youth stepping up!! #earlswoodcc #cricket ",2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Refreshing twitter so hard right now on the gopher game.   #atawedding @user,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
RagingGirlGamer @user now featured on #BinxTV. Visit their #Twitch #stream to earn #BinxCoins and for a chance to win a #free #steam #game! {URL},2019-9-8,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0],,,
So @AB is just the latest victim of the madden curse. If you’re on the cover of that game your career will take a turn for the worse,2019-9-8,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0],,,
Game was there to be won and @Cronulla_Sharks had a better handle on what was needed. @Wests_Tigers handling/completion not good enough to win an @NRL match let alone play finals. I just hope we can build on this season and under Maguire I believe that s possible #NRLTigersSharks,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
"The #Dbacks, marked by mediocrity for four months, are hotter than any team in the game right now. In tonight s  emergency  episode, @user answers many of your questions and poses a few new ones. Tune in here: {URL} ",2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Wondering if @Big_Cat stayed up for the Washington/Cal game? #Pac12InTheDark,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Tuber simulator is the only good mobile game ok @user,2019-9-8,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0],,,
⚽️Pre-Season Fixture⚽️ @user Vs @user Our third pre-season game this morning after a win last week against @user hopefully we get another good pre-season result ahead of the new season and no silly mistakes as last week #COYB,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Y’all leave @50cent alone about that theme song. He done change the song back to the Joe version. ‍♀�?#power,2019-9-8,[0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],,,
@user Steven i hope to catch a Fury game after.the College Baseball fall.season ends. I enjoyed watching you play last season and grandson Nate heaps much praise upon you.,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
"The prime minister takes his game of Brexit bluff to Dublin tomorrow, seemingly unconcerned that his mendacity is now visible to all writes @Fintan_O_Toole - The vices that led Johnson to the top are useless when it comes to wielding power {URL} ",2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],,,
First game at @user a 40-0 win over Black Swans. #fastandfree,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
"The Wellington Cowboys are back. For the first time since 1994 the Cowboys won the #Group11 first grade title. In a performance worthy of the occasion, the Cowboys downed minor premiers Dubbo CYMS to spark emotional celebrations. @user @user {URL} ",2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
"Tunisia won their second Classification game, 86-84 against Angola. This means #Dtigers will have to win the Host China at the Classification game by 1pm today to get the ball running for @Tokyo2020 we Believe in you guys! @user @user  @Colin_NOT_Collins @user ",2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Game finished 2-2    Goal scorer  @joshuamcisaac10,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Enjoyed @Mark_Kermode  s review of IT CHAPTER TWO in @user . But why no mention of screenwriter Gary Dauberman? #theresareasontheydontjustfilmthebook #noscriptnofilm #itstartsonthepage #creditscreenwriters,2019-9-8,[1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],,,
Anyone else not able to play the Vandy@Purdue game via BTN+? @Big_Ten_Network I’m currently paying for a streaming service that doesn’t stream the game I wish to see....,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Game Day! Good luck to the @Belfast_Giants tonight in Augsburg. Wish I could be there #WeAreGiants,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
Enjoyed that game. Not the result I wanted but good all the same. Unlucky @Adrian_Lewis fought back well,2019-9-8,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],,,
